symbol,sector,industry,gain,market_cap
GIL,Consumer Cyclical,Apparel Manufacturing,0.19811320754716977,9114177441.199999
GILD,Healthcare,Drug Manufacturers - General,0.008140991232778642,137685460614.72
GILT,Technology,Communication Equipment,0.8971830985915494,774861464.88
GIPR,Real Estate,REIT - Diversified,0.05128205128205118,5877010.0836000005
GIS,Consumer Defensive,Packaged Foods,-0.028549382716049457,27737956500.0
GKOS,Healthcare,Medical Devices,-0.13847821801695248,4779378443.139999
GL,Financial Services,Insurance - Life,0.13505486346011072,11691824242.56
GLAD,Financial Services,Asset Management,-0.23082463089665106,486344176.56
GLBE,Industrials,Specialty Business Services,0.0661742538438348,6185130470.76
GLBS,Industrials,Marine Shipping,-0.04383928571428584,22125973.575
GLBZ,Financial Services,Banks - Regional,-0.17534798214129388,13647704.105
GLDD,Industrials,Engineering & Construction,0.010135135135135219,797970782.0799999
GLDG,Basic Materials,Gold,0.6932950976375803,239040890.32
GLLI,Industrials,Shell Companies,0.10567722730172228,78098371.0
GLMD,Healthcare,Biotechnology,-0.14207650273224043,2365977.44
GLNG,Energy,Oil & Gas Midstream,-0.05823148813803019,4090320000.0
GLOB,Technology,Information Technology Services,-0.3374037403740375,2617543014.55
GLP,Energy,Oil & Gas Midstream,-0.10293549633062955,1604250617.97
GLPG,Healthcare,Biotechnology,0.32046332046332043,2364386907.48
GLRE,Financial Services,Insurance - Reinsurance,-0.09561466570812366,432743483.52
GLSI,Healthcare,Biotechnology,0.083416087388282,139990554.45000002
GLTO,Healthcare,Biotechnology,0.16615384615384615,5223318.05
GLUE,Healthcare,Biotechnology,0.557344064386318,469319934.23
GLW,Technology,Electronic Components,0.5952653684612447,70683661362.51999
GM,Consumer Cyclical,Auto Manufacturers,0.16036279428791977,59063312249.76
GMAB,Healthcare,Biotechnology,0.6354775828460041,2125932414.32
GME,Consumer Cyclical,Specialty Retail,0.1220159151193633,12169625962.82
GMED,Healthcare,Medical Devices,0.08057888154368409,7985668082.88
GMGI,Communication Services,Electronic Gaming & Multimedia,-0.3154761904761905,146616658.8
GMM,Technology,Information Technology Services,-0.30902777777777773,3768003.36
GNE,Utilities,Utilities - Regulated Electric,-0.38655462184873945,405146160.0
GNFT,Healthcare,Biotechnology,0.1143169398907104,198877334.755
GNK,Industrials,Marine Shipping,0.2326413743736577,739711583.5
GNLN,Consumer Defensive,Tobacco,0.1565217391304348,43796.79199841351
GNLX,Healthcare,Biotechnology,0.5344827586206897,151912859.44
GNPX,Healthcare,Biotechnology,-0.25359782185919877,1701613.6
GNRC,Industrials,Specialty Industrial Machinery,0.11690150340457071,10133788109.75
GNS,Consumer Defensive,Education & Training Services,-0.2761194029850747,11009270.0
GNSS,Technology,Scientific & Technical Instruments,0.31693989071038253,105143145.11999999
GNTA,Healthcare,Biotechnology,-0.17085427135678397,60508363.6878
GNTX,Consumer Cyclical,Auto Parts,0.21230769230769223,6325129234.56
GNTY,Financial Services,Banks - Regional,0.07189973614775733,555660982.5
GNW,Financial Services,Insurance - Life,0.1417624521072796,3727768115.0
GO,Consumer Defensive,Grocery Stores,0.2430188679245282,1575251501.56
GOCO,Financial Services,Insurance Brokers,-0.21854304635761593,107222242.9
GOGO,Communication Services,Telecom Services,-0.4485154769425142,1130924593.47
GOLF,Consumer Cyclical,Leisure,0.06363036303630354,4816491238.530001
GOOG,Communication Services,Internet Content & Information,0.3879815273710294,1363743620000.0
GOOGL,Communication Services,Internet Content & Information,0.387804740087109,2994961100000.0
GOOS,Consumer Cyclical,Apparel Manufacturing,0.1622911694510739,1403683462.0
GORO,Basic Materials,Gold,0.060007548119260234,78833732.823
GORV,Consumer Cyclical,Auto & Truck Dealerships,-0.6098981077147015,8846769.21715323
GOSS,Healthcare,Biotechnology,1.0559999999999998,563508727.28
GOTU,Consumer Defensive,Education & Training Services,6.265768115942029,4126058554.8475003
GOVX,Healthcare,Biotechnology,0.15471923536439663,7680910.290000001
GP,Consumer Cyclical,Auto Manufacturers,6.569101796407185,81857690.58
GPC,Consumer Cyclical,Specialty Retail,0.11312036963275701,19483609191.699997
GPCR,Healthcare,Biotechnology,0.45648691938067276,4579399814.66
GPI,Consumer Cyclical,Auto & Truck Dealerships,-0.030354204555295708,5902726309.2
GPK,Consumer Cyclical,Packaging & Containers,-0.10983455882352942,5839171344.25
GPN,Industrials,Specialty Business Services,0.09840159840159834,21398990794.12
GPOR,Energy,Oil & Gas E&P,0.014033746518866342,3351362864.96
GPRE,Basic Materials,Chemicals,0.3785714285714286,594863608.74
GPRK,Energy,Oil & Gas E&P,-0.05916305916305919,354649403.2
GPRO,Technology,Consumer Electronics,1.991000529380624,343192444.86
GRAB,Technology,Software - Application,0.23943661971830996,24625300794.6
GRBK,Consumer Cyclical,Residential Construction,0.2201545497555592,3396101860.7999997
GRC,Industrials,Specialty Industrial Machinery,0.25369588173178453,1235317134.0
GREE,Technology,Software - Application,0.22292993630573238,29963452.86
GRFS,Healthcare,Drug Manufacturers - General,0.12175873731679822,2579588880.0
GRI,Healthcare,Biotechnology,0.2993197278911564,1034955.26
GRMN,Technology,Scientific & Technical Instruments,0.19880613720095133,49590148968.5
GRND,Technology,Software - Application,-0.36133694670280037,3073716864.0
GRNQ,Industrials,Consulting Services,-0.13297872340425532,12045542.67
GRNT,Energy,Oil & Gas E&P,-0.09752066115702478,701156082.72
GROV,Consumer Defensive,Household & Personal Products,0.26890756302521013,60630610.22
GROW,Financial Services,Asset Management,0.11885245901639346,36318310.400000006
GROY,Basic Materials,Gold,0.6092436974789917,646779471.1999999
GRPN,Communication Services,Internet Content & Information,-0.37455734132388996,895746060.0
GRRR,Technology,Software - Infrastructure,-0.12333333333333332,222515672.54000002
GRVY,Communication Services,Electronic Gaming & Multimedia,-0.03276131045241801,435696030.0
GRWG,Consumer Cyclical,Specialty Retail,0.7943063352044908,105240690.09
GS,Financial Services,Capital Markets,0.11119238180974227,243196981539.54
GSAT,Communication Services,Telecom Services,0.5886123680241329,5091848173.320001
GSBC,Financial Services,Banks - Regional,-0.009864165588615888,705097431.0450001
GSBD,Financial Services,Asset Management,-0.13020833333333334,1188220858.8600001
GSHD,Financial Services,Insurance - Diversified,-0.28230616302186873,2689937069.06
GSIT,Technology,Semiconductors,0.19756097560975625,106759393.41
GSIW,Financial Services,Capital Markets,-0.9007692307692308,2445312.5
GSK,Healthcare,Drug Manufacturers - General,0.13511390416339367,178290950347.37
GSL,Industrials,Marine Shipping,0.12865064695009243,1083271627.2
GSM,Basic Materials,Other Industrial Metals & Mining,0.17757009345794386,853846880.0
GSUN,Consumer Defensive,Education & Training Services,0.008326011463955589,4813693.92
GT,Consumer Cyclical,Auto Parts,-0.29109274563820026,2145856200.39
GTBP,Healthcare,Biotechnology,-0.7057142857142857,1427512.1592
GTE,Energy,Oil & Gas E&P,-0.081967213114754,151091734.33
GTEC,Industrials,Specialty Industrial Machinery,-0.30670103092783507,18896396.7
GTES,Industrials,Specialty Industrial Machinery,0.08699324324324319,6576897959.75
GTIM,Consumer Cyclical,Restaurants,-0.04093567251461992,17024910.400000002
GTLB,Technology,Software - Infrastructure,0.00773361976369494,7624360000.0
GTLS,Industrials,Specialty Industrial Machinery,0.22613372448355945,9162387833.199999
GTN,Communication Services,Broadcasting,0.1966173361522198,578795157.0
GTX,Consumer Cyclical,Auto Parts,0.21024258760107814,2845536037.88
GURE,Basic Materials,Chemicals,-0.06268568033273918,6747235.196
GUTS,Healthcare,Biotechnology,0.006493506493506499,76804746.97
GV,Consumer Defensive,Education & Training Services,0.161111111111111,8001435.44
GVA,Industrials,Engineering & Construction,0.16583075445523432,4740884734.45
GVH,Industrials,Integrated Freight & Logistics,-0.7009803921568628,357562.5
GWAV,Industrials,Waste Management,32.82204246713852,150036171.9528
GWH,Industrials,Electrical Equipment & Parts,0.1390728476821192,18518737.5
GWRE,Technology,Software - Application,-0.015368808596258415,19377283279.12
GWRS,Utilities,Utilities - Regulated Water,-0.01472031403336608,242017899.84
GWW,Industrials,Industrial Distribution,-0.07481986556409885,45986685255.0
GXAI,Communication Services,Electronic Gaming & Multimedia,0.18055555555555558,12323573.69
GXO,Industrials,Integrated Freight & Logistics,0.07675350701402803,6430070283.0
GYRE,Healthcare,Biotechnology,-0.027559055118110232,703965563.8399999
GYRO,Real Estate,Real Estate Services,0.13186813186813198,21993000.0
H,Consumer Cyclical,Lodging,0.010171122259638638,13982284031.91
HAE,Healthcare,Medical Instruments & Supplies,-0.32796486090775984,2456612087.4
HAFC,Financial Services,Banks - Regional,-0.05024932873034134,741317544.7
HAFN,Industrials,Marine Shipping,0.19736842105263153,3172768263.0800004
HAIN,Consumer Defensive,Packaged Foods,-0.018867924528301903,138980162.86
HAL,Energy,Oil & Gas Equipment & Services,0.163714696026807,21164073768.739998
HALO,Healthcare,Biotechnology,0.27222427148653644,8828838570.0
HAO,Communication Services,Advertising Agencies,-0.10958904109589036,1650688.0
HAS,Consumer Cyclical,Leisure,-0.008621815806662268,10488568647.87
HAYW,Industrials,Electrical Equipment & Parts,0.09348441926345612,3331433452.93
HBAN,Financial Services,Banks - Regional,-0.018814139110604238,24772040869.68
